,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,2024-09-30,USD,30698000000,None,None,-29000000,2233000000,3985000000,13061000000,1431000000,None,26301000000,-18011000000,-20094000000,None,15291000000,15291000000,None,2455000000,2455000000,None,None,None,None,-15291000000,None,None,None,26301000000
1,2024-06-30,USD,26640000000,None,None,1800000000,3589000000,3708000000,13186000000,3057000000,None,23619000000,-2781000000,-20889000000,None,15684000000,15684000000,None,2466000000,2466000000,None,None,None,None,-15684000000,None,None,None,23619000000
2,2024-03-31,USD,28848000000,None,None,-7319000000,-2167000000,3413000000,12012000000,-3167000000,None,23662000000,-8564000000,-19714000000,None,15696000000,15696000000,None,None,None,None,None,None,None,-15696000000,None,None,None,23662000000
3,2023-12-31,USD,18915000000,None,None,4579000000,5778000000,3316000000,11019000000,6518000000,5854000000,20687000000,-6167000000,-19308000000,None,16191000000,16191000000,None,None,None,None,None,None,None,-16191000000,None,None,None,20687000000
4,2023-09-30,USD,30656000000,None,None,4587000000,4445000000,3171000000,8055000000,2821000000,2136000000,19689000000,-7150000000,-18382000000,None,15787000000,15787000000,None,None,None,None,None,None,None,-15787000000,None,None,None,19689000000
5,2023-06-30,USD,28666000000,None,None,1762000000,3461000000,2824000000,6888000000,2948000000,130000000,18368000000,-10800000000,-17835000000,None,14969000000,14969000000,None,None,None,None,None,None,None,-14969000000,None,31000000,None,18368000000
6,2023-03-31,USD,23509000000,None,None,-5802000000,-3708000000,2635000000,6289000000,-4454000000,None,15051000000,-2946000000,-16568000000,None,14557000000,14557000000,None,None,None,None,None,None,None,-14557000000,None,3995000000,None,15051000000
7,2022-12-31,USD,23614000000,None,None,3659000000,5393000000,4201000000,7595000000,4615000000,None,13624000000,-6227000000,-17629000000,None,15407000000,15407000000,None,None,None,None,None,None,None,-15407000000,None,-242000000,None,13624000000
8,2022-09-30,USD,23353000000,None,None,4229000000,2744000000,4046000000,7276000000,97000000,None,13910000000,-833000000,-18097000000,None,15392000000,15392000000,None,None,None,None,None,None,None,-15392000000,None,4423000000,None,13910000000
9,2022-06-30,USD,19422000000,None,None,2784000000,2814000000,3899000000,6828000000,1969000000,None,16002000000,-4187000000,-17817000000,None,15197000000,15197000000,None,None,None,None,None,None,None,-15197000000,None,-2582000000,None,16002000000
10,2022-03-31,USD,25106000000,None,None,-5683000000,-3588000000,3782000000,9786000000,-4364000000,None,16436000000,-9051000000,-16214000000,None,13300000000,13300000000,None,None,None,None,None,None,None,-13300000000,None,-159000000,None,16436000000
11,2021-12-31,USD,24934000000,None,None,6066000000,6218000000,3439000000,6383000000,5819000000,5438000000,20642000000,-11016000000,-16511000000,None,13473000000,13473000000,None,None,None,None,None,None,None,-13473000000,None,-2593000000,None,20642000000
12,2021-09-30,USD,25539000000,None,None,3072000000,3664000000,3304000000,6819000000,2409000000,1664000000,18936000000,-10050000000,-15254000000,None,12610000000,12610000000,None,None,None,None,None,None,None,-12610000000,None,18936000000,None,18936000000
13,2021-06-30,USD,21890000000,None,None,3598000000,3860000000,2945000000,5496000000,3661000000,4005000000,18525000000,-9074000000,-15991000000,None,12796000000,12796000000,None,None,None,None,None,None,None,-12796000000,None,18525000000,None,18525000000
14,2021-03-31,USD,19289000000,None,None,-4375000000,-2801000000,2753000000,5942000000,-2794000000,-3967000000,17930000000,-5383000000,-13606000000,None,11395000000,11395000000,None,None,None,None,None,None,None,-11395000000,None,300000000,None,17930000000
15,2020-12-31,USD,22677000000,554000000,None,5783000000,6183000000,3725000000,5479000000,5445000000,5237000000,15227000000,-7281000000,-9270000000,None,7904000000,7904000000,None,None,None,None,None,None,None,-7904000000,None,6126000000,None,15227000000
16,2020-09-30,USD,17003000000,527000000,None,3690000000,3834000000,3478000000,5406000000,3601000000,3726000000,11247000000,-15197000000,546000000,None,7897000000,7897000000,None,None,None,None,None,None,None,-7897000000,None,5314000000,None,11247000000
17,2020-06-30,USD,13993000000,493000000,None,1689000000,324000000,3386000000,5391000000,80000000,1367000000,6959000000,-8448000000,-7498000000,None,6852000000,6852000000,None,None,None,None,None,None,None,-6852000000,None,1075000000,None,6959000000
18,2020-03-31,USD,11451000000,430000000,None,-4329000000,-2487000000,3108000000,6005000000,-2602000000,-4517000000,6836000000,-1847000000,-8186000000,None,8496000000,8496000000,None,None,None,None,None,None,None,-8496000000,None,1418000000,None,6836000000
19,2019-12-31,USD,14427000000,449000000,None,5243000000,4199000000,3413000000,6052000000,4365000000,5481000000,10671000000,-4703000000,-7326000000,None,6098000000,6098000000,None,1015000000,1015000000,None,None,None,None,-6098000000,None,2398000000,None,10671000000
20,2019-09-30,USD,15466000000,442000000,None,1851000000,612000000,2920000000,6732000000,1000000,1503000000,7068000000,-8945000000,-6954000000,None,5696000000,5696000000,None,None,None,None,None,None,None,-5696000000,None,-106000000,None,7068000000
21,2019-06-30,USD,12627000000,396000000,None,1276000000,1057000000,2835000000,6126000000,1146000000,1479000000,9947000000,-10455000000,-4746000000,None,3577000000,3577000000,None,None,None,None,None,None,None,-3577000000,None,3425000000,None,9947000000
22,2019-03-31,USD,12000000000,374000000,None,-735000000,-907000000,2613000000,4638000000,-1172000000,-641000000,6657000000,-5388000000,-4183000000,None,3025000000,3025000000,None,None,None,None,None,None,None,-3025000000,None,2447000000,18000000,6657000000
23,2018-12-31,USD,12987000000,None,None,3030000000,2854000000,2580000000,7081000000,2887000000,2869000000,8948000000,-6876000000,-2746000000,None,2650000000,2650000000,None,None,None,None,None,None,None,-2650000000,None,3258000000,-107000000,8948000000
24,2018-09-30,USD,13210000000,None,None,2150000000,1154000000,2355000000,5282000000,670000000,1480000000,9192000000,-10408000000,-3478000000,None,2200000000,2200000000,None,None,None,None,None,None,None,-2200000000,None,-705000000,-29000000,9192000000
25,2018-06-30,USD,10132000000,None,None,5762000000,827000000,2114000000,5477000000,312000000,5210000000,3195000000,-3374000000,-4937000000,None,2052000000,2052000000,None,None,None,None,None,None,None,-2052000000,None,1490000000,-331000000,3195000000
26,2018-03-31,USD,11642000000,None,None,-890000000,-1459000000,1986000000,7299000000,-1700000000,-1669000000,9401000000,-7846000000,-2018000000,None,2173000000,2173000000,None,None,None,None,None,None,None,-2173000000,None,1943000000,165000000,9401000000
27,2017-12-31,USD,10268000000,None,None,2605000000,3127000000,2026000000,4307000000,3049000000,2465000000,-3083000000,-6974000000,-3178000000,None,2101000000,2101000000,None,800000000,800000000,None,None,None,None,-2101000000,None,134000000,18000000,-3020000000
28,2017-09-30,USD,9872000000,None,None,1406000000,3236000000,1761000000,3538000000,1150000000,-22000000,6701000000,-14404000000,-706000000,None,0,0,None,None,None,None,None,None,None,0,None,-5130000000,108000000,6732000000
29,2017-06-30,USD,7403000000,None,None,3655000000,836000000,1625000000,2831000000,836000000,3309000000,3511000000,-7172000000,-2740000000,None,1618000000,1618000000,None,None,None,None,None,None,None,-1618000000,None,-2421000000,88000000,3524000000
30,2017-03-31,USD,9548000000,None,None,-1654000000,-1267000000,1503000000,2508000000,-1267000000,-2070000000,5377000000,-2851000000,-1674000000,None,1127000000,1127000000,None,None,None,None,None,None,None,-1127000000,None,5214000000,191000000,5426000000
31,2016-12-31,USD,9413000000,18000000,None,1230000000,2279000000,1687000000,3078000000,2279000000,1830000000,5340000000,-4702000000,-892000000,None,0,0,None,None,None,None,None,None,None,298000000,None,3512000000,-307000000,5333000000
32,2016-09-30,USD,9845000000,18000000,None,1307000000,282000000,1596000000,2554000000,282000000,948000000,5000000000,-13045000000,-1089000000,None,0,0,None,None,None,None,None,None,None,0,None,-4221000000,68000000,5061000000
33,2016-06-30,USD,9120000000,-136000000,None,626000000,835000000,1490000000,2123000000,835000000,652000000,4834000000,-7173000000,-3440000000,None,1595000000,1595000000,None,None,None,None,None,None,None,-1595000000,None,-1484000000,9000000,4877000000
34,2016-03-31,USD,7658000000,184000000,None,-1315000000,-818000000,1371000000,2428000000,-818000000,-1010000000,4102000000,-6245000000,-2911000000,None,2098000000,2098000000,None,None,None,None,None,None,None,-2098000000,None,-1438000000,60000000,4207000000
35,2015-12-31,USD,6609000000,1245000000,None,1246000000,1758000000,1404000000,2100000000,1758000000,663000000,4696000000,-5487000000,-2559000000,None,1780000000,1780000000,None,None,None,None,None,None,None,-1780000000,None,-1519000000,-82000000,4923000000
36,2015-09-30,USD,6145000000,None,None,None,None,1248000000,2383000000,None,777000000,3979000000,-5817000000,-609000000,None,0,None,None,None,None,None,None,None,None,None,None,-385000000,-104000000,3979000000
